,COUNTY_NAME,COUNTY_NUM,COUNTY_CODE,COUNTY_FIPS,SHAPE_Length,SHAPE_Area
0,Alameda,1,1,1,308998.650975309,3402787058.98543
1,Alpine,2,2,3,274888.49266201,3146939367.21906
2,Amador,3,3,5,361708.43864939,2562634785.25723
3,Butte,4,4,7,526547.113133818,7339347536.66435
4,Calaveras,5,5,9,370637.579038918,4351069341.78033
5,Colusa,6,6,11,386191.550022144,4992906480.21929
6,Contra Costa,7,7,13,321717.2457739,3348831376.95922
7,Del Norte,8,8,15,391350.003689641,4723608395.31383
8,El Dorado,9,9,17,472602.584878193,7635354515.45302
9,Fresno,10,10,19,1110071.01496446,24298410986.5121
10,Glenn,11,11,21,396198.699450335,5795190689.54288
11,Humboldt,12,12,23,678269.543835831,16284538690.1792
12,Imperial,13,13,25,593476.826172109,16564231846.2379
13,Inyo,14,14,27,1069449.39428367,41096174750.6302
14,Kern,15,15,29,862005.052143034,31846476133.417
15,Kings,16,16,31,354382.253353123,5529919182.66028
16,Lake,17,17,33,469746.867947002,5725314906.55742
17,Lassen,18,18,35,777067.437052652,21279656634.1462
18,Los Angeles,19,19,37,629726.475212494,15054690022.5519
19,Madera,20,20,39,603305.220864443,8807559946.64522
20,Marin,21,21,41,324786.530032902,2546999709.77205
21,Mariposa,22,22,43,436426.864190337,6039261660.01313
22,Mendocino,23,23,45,852837.419715383,15273081234.3243
23,Merced,24,24,47,432954.411911188,8085829167.61393
24,Modoc,25,25,49,566315.312655799,19475267337.4404
25,Mono,26,26,51,700809.628259551,13058711009.4146
26,Monterey,27,27,53,859588.463904145,13211999210.2219
27,Napa,28,28,55,356598.937629795,3348148992.13833
28,Nevada,29,29,57,433438.826537275,4221812117.3845
29,Orange,30,30,59,261212.10141237,2998358175.16697
30,Placer,31,31,61,535807.043411979,6452911147.28564
31,Plumas,32,32,63,658542.920766784,11550726299.2829
32,Riverside,33,33,65,911236.05172249,27420659761.3428
33,Sacramento,34,34,67,406962.538820025,4203504879.82078
34,San Benito,35,35,69,457471.885197571,5596300723.99302
35,San Bernardino,36,36,71,1247676.28979313,77496812444.9771
36,San Diego,37,37,73,564113.667128319,15735991010.5191
37,San Francisco,38,38,75,111442.383019178,438635889.416213
38,San Joaquin,39,39,77,416061.272930545,5946806922.05316
39,San Luis Obispo,40,40,79,787688.504260885,12974195493.0411
40,San Mateo,41,41,81,296746.19911761,2272024165.76849
41,Santa Barbara,42,42,83,535263.340301824,9803016764.73734
42,Santa Clara,43,43,85,430617.481386023,5341596054.78861
43,Santa Cruz,44,44,87,307048.569388464,1817372900.01779
44,Shasta,45,45,89,709221.731198807,17408369411.6899
45,Sierra,46,46,91,374684.196529416,4197234766.72098
46,Siskiyou,47,47,93,897698.504233487,29416032037.3467
47,Solano,48,48,95,339651.084866368,3828194705.17161
48,Sonoma,49,49,97,562775.028759497,6800681632.83081
49,Stanislaus,50,50,99,474264.063188368,6258716830.0983
50,Sutter,51,51,101,350551.696650269,2614846608.23927
51,Tehama,52,52,103,626814.90786467,13117330466.515
52,Trinity,53,53,105,807269.68859686,14447626019.2183
53,Tulare,54,54,107,654530.718363951,19311031190.5204
54,Tuolumne,55,55,109,643353.197291476,9522573610.55035
55,Ventura,56,56,111,370211.927724654,6999718265.99567
56,Yolo,57,57,113,419556.871400423,4346599728.27516
57,Yuba,58,58,115,363851.509144691,2786356525.28967
58,Santa Barbara,42,42,83,1902.96825253824,79721.3267195442
59,Santa Barbara,42,42,83,14848.6556688822,3749446.31583325
60,Santa Barbara,42,42,83,126896.070090363,311065614.629382
61,Santa Barbara,42,42,83,65871.3321834834,54194905.8520818
62,Santa Barbara,42,42,83,175301.704405217,363701291.49798
63,Ventura,56,56,111,71770.0438814712,82698475.5767656
64,Ventura,56,56,111,11880.9001108831,875009.351026992
65,Ventura,56,56,111,14258.5264477058,2595855.41355094
66,Ventura,56,56,111,7967.0301697072,608208.24827948
67,Los Angeles,19,19,37,135274.19961938,207658042.004014
68,Los Angeles,19,19,37,143353.768380609,277617205.354576
